"epiunitID","serotype","Longitude","Latitude","Date"
16909,"O",33.422025,38.219359,2007-10-13
14356,"O",35.305996,41.184134,2007-10-15
10146,"A",42.772893,40.501653,2007-10-17
31137,"A",44.036997,39.861036,2007-10-17
9229,"O",44.036997,39.861036,2007-10-17
29984,"O",44.450194,39.819098,2007-10-18
7492,"O",42.772893,40.501653,2007-10-19
3239,"O",44.450194,39.819098,2007-10-19
26836,"A",31.673141,40.720731,2007-10-22
33844,"O",44.036997,39.861036,2007-10-22
14429,"O",33.772048,40.520493,2007-10-24
31147,"O",44.036997,39.861036,2007-10-24
8648,"O",43.564686,39.989957,2007-10-24
32921,"A",44.036997,39.861036,2007-10-31
6420,"O",33.772048,40.520493,2007-11-01
6703,"O",37.724847,41.032737,2007-11-01
24420,"O",43.564686,39.989957,2007-11-01
16754,"A",31.673141,40.720731,2007-11-08
21210,"O",44.246655,40.004531,2007-11-08
27025,"O",44.246655,40.004531,2007-11-08
6170,"O",28.538968,38.326732,2007-11-27
12235,"A",31.673141,40.720731,2007-12-04
35198,"O",32.352644,41.519958,2007-12-09
32061,"O",32.352644,41.519958,2007-12-10
6279,"O",28.221024,39.417553,2007-12-13
15749,"O",28.20673,38.541211,2007-12-15
34434,"O",28.20673,38.541211,2007-12-16
10712,"O",34.15179,39.142769,2007-12-17
23706,"A",26.913756,39.377394,2007-12-20
34712,"O",32.352644,41.519958,2007-12-20
30950,"O",32.352644,41.519958,2007-12-23
34405,"O",27.990252,40.275767,2007-12-27
30726,"O",38.211037,39.81527,2007-12-28
4005,"O",33.528296,39.673729,2007-12-30
4005,"O",33.528296,39.673729,2007-12-30
15027,"O",29.515156,40.892828,2008-01-05
21602,"A",29.591409,40.280319,2008-01-08
10315,"O",29.330828,39.324698,2008-01-10
37278,"A",37.780948,39.821508,2008-01-10
47112,"A",34.819405,39.822132,2008-01-12
1519,"A",34.468341,38.762159,2008-01-18
3960,"A",36.529062,39.872686,2008-01-18
1493,"O",35.843021,41.458498,2008-01-22
15370,"O",44.450194,39.819098,2008-01-22
36434,"O",37.275748,36.984877,2008-01-25
27574,"A",29.202204,41.152105,2008-01-27
24774,"O",28.221024,39.417553,2008-01-28
4866,"A",34.468341,38.762159,2008-01-28
35813,"O",36.598993,40.270807,2008-02-01
35105,"A",29.778093,38.222275,2008-02-02
35916,"A",36.467626,41.134241,2008-02-03
15434,"A",29.330828,39.324698,2008-02-04
28182,"A",44.450194,39.819098,2008-02-06
14269,"A",35.843021,41.458498,2008-02-07
28336,"A",36.598993,40.270807,2008-02-07
46549,"O",33.859158,41.311514,2008-02-08
21063,"A",36.869161,38.395021,2008-02-08
20597,"A",36.529062,39.872686,2008-02-09
39946,"A",38.444403,38.318497,2008-02-10
6695,"O",32.289424,40.677502,2008-02-15
45644,"A",34.819405,39.822132,2008-02-20
43635,"A",40.5767,38.956535,2008-02-21
13128,"A",34.15179,39.142769,2008-02-22
2607,"A",34.468341,38.762159,2008-02-22
29668,"A",29.343769,38.649092,2008-02-25
21428,"A",33.272537,40.479351,2008-02-29
41263,"A",33.285543,41.194805,2008-03-01
31350,"O",30.831437,40.355267,2008-03-02
35215,"A",37.893164,38.004506,2008-03-02
4331,"A",32.996145,39.983391,2008-03-03
24316,"A",33.506068,40.50778,2008-03-06
16639,"O",33.859158,41.311514,2008-03-07
36003,"A",34.811513,38.165102,2008-03-08
7184,"O",36.672076,41.20714,2008-03-12
19115,"A",42.772893,40.501653,2008-03-14
7339,"A",34.87396,38.934681,2008-03-14
20811,"A",36.218023,41.24092,2008-03-17
1560,"A",30.536704,38.785375,2008-03-18
23433,"A",29.950545,40.183737,2008-03-21
11755,"A",29.293208,38.380439,2008-03-22
20030,"A",35.454177,40.817841,2008-03-24
35783,"A",35.717235,39.392087,2008-03-24
23073,"O",38.566615,39.523887,2008-03-25
14285,"A",28.221024,39.417553,2008-03-26
21097,"A",33.697422,40.932345,2008-03-26
17727,"A",43.6218,40.843022,2008-03-26
25095,"A",31.530774,39.874863,2008-03-27
17001,"A",29.624295,38.487999,2008-03-27
6664,"A",29.343769,38.649092,2008-04-02
1867,"O",32.994676,37.881286,2008-04-03
5964,"O",29.591409,40.280319,2008-04-04
16793,"A",35.897315,40.608305,2008-04-04
20731,"A",34.646495,37.561772,2008-04-04
39117,"O",30.320781,40.5095,2008-04-04
